country,program,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010
Afghanistan,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,586,555","56,501,189","40,215,304","39,817,970","40,856,382","72,527,069","28,397,435",,
Afghanistan,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,964,313",,"45,635,526","151,334,908","230,501,318","214,505,892","495,539,084","552,524,990","316,514,796"
Afghanistan,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,110,478","8,762,080","54,538,965","180,539,337","193,598,227","212,648,440","173,134,034","150,529,862","3,675,202",
Afghanistan,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,"181,177,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,178,135","2,769,948",,,,,,,"61,144","31,827,014","341,306,822","1,025,522,037","1,157,530,168","1,357,750,249","1,266,653,993","1,400,237,791","1,418,688,520","2,797,488,331"
Afghanistan,Food For Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,957,312","2,610,006","3,254,408","386,891",,,,
Afghanistan,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,064,912","1,764,252","137,642,691"
Afghanistan,Inactive Programs,,,,,"7,658","726,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,333,853","3,230,123","7,468,497","3,672,225","13,952,743","7,092,713","79,087,813","55,581,916","14,578,094","8,080,058","12,465,950","15,976,916","13,374,516","18,661,134","30,875,007"
Afghanistan,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,745",,,,,,,,,,,,,"481,136","141,781","138,845","156,354","400,156","353,654","651,867","1,335,189",,,"75,792,086",,"195,331,475","1,567,201","1,515,375","125,857,705","293,269,580","580,004,707","860,561,349"
Afghanistan,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,309,829","2,845,449","3,337,972","3,755,316","3,424,069","8,421,343","13,316,575","9,575,064","36,684,145","24,028,153","28,098,332","29,497,627","34,743,080","69,603,662"
Afghanistan,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,793,807","2,899,030","2,944,904","9,136,850","11,878,130","11,141,806","12,175,789","9,939,898","17,651,136","9,740,539","11,291,005","11,553,941"
Afghanistan,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,833,237","29,581,885","55,038,433","1,838,805",,"9,748,593","5,238,928","18,719,709",,"20,977,989",,
Afghanistan,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"214,592","84,858","88,900","34,028","33,323","65,261","64,025","128,363","62,083","74,035",,"103,945","862,587","1,436,990","627,870","1,622,801","1,557,659","2,380,522","2,071,309","5,712,137","4,180,442"
Afghanistan,Other USAID Assistance,,,,,,,"2,095,480","15,092,109","16,951,554","13,454,655","119,990,631","91,039,091","49,098,731","117,317,283","62,115,298","75,397,353","43,692,408","100,108,480","126,223,505","60,327,108","60,175,516","134,117,723","44,036,908","43,078,575","31,592,317","38,933,439","40,553,986","109,691,415","47,212,322","55,378,618","20,091,745","4,637,538","59,373,672","13,867,750","7,908,531",,,,,,"6,070,747",,,,,,,,"14,178,135","476,237",,,,,,,"11,055,901","188,692,500","154,041,543","39,419,572","43,876,355","11,944,959","22,824,172","44,886,114","83,398,420","237,417,668"
Afghanistan,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,289","414,922","480,651",,,"122,522",,"101,692,000"
Afghanistan,Peace Corps,,,,,,,,,,,,,,,,,"5,826","1,726,008","3,411,446","7,261,596","8,205,752","6,891,424","8,192,913","7,832,468","4,181,336","4,866,680","5,491,686","5,666,715","5,665,479","4,102,120","2,870,249","618,338","2,213,531","2,193,156","830,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Title I,,,,,,,,,,,,,,,,,,,,"3,351,506",,"10,072,082","31,747,538","17,133,524",,"13,272,763","25,768,679","26,309,749",,,,"7,729,230",,"14,176,293",,,,,,,,,,,,,,,,,,,,,,,,,"6,280,584",,,"8,487,793","13,640,872",,"19,028,359","15,284,034"
Afghanistan,Title II,,,,,,,,,,,"6,557","41,726,250","38,051,517","45,959,348","597,262","110,150,821","4,660,524","575,336","108,597,701","118,978,464","113,786,431","22,264,602",,"7,342,939","3,716,743","3,539,404","78,995,786","14,571,553","377,699","13,331,889","4,783,749","927,508","2,183,859","1,784,545","18,510,697",,,,,,,"15,669,028","4,427,812","48,115,050","91,816,151","23,277,190","29,862,828","45,215,212","25,520,642",,"16,846,039","20,274,562","37,619,084",,"8,117,974","17,496,891","37,076,059","192,610,427","56,697,144","57,852,242","63,684,049","66,164,550","62,659,611","180,855,612","75,724,560","63,717,600"
Albania,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,149,009","166,905","887,621","1,788,194","1,378,368",,
Albania,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,354,061","7,667,931","1,494,826","2,839,143",,,,,,,"17,861,311","7,869,974","10,653,725","4,871,265","487,207","44,865",
Albania,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"492,821",,"353,537","778,863","333,810",,,,,"15,849"
Albania,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"323,347","319,118","15,021,262",,,"34,179","5,745",,,,,,"245,880"
Albania,Food For Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,691,233","2,911,818","3,363,896",,,,,,,
Albania,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"510,507","19,648",
Albania,Inactive Programs,"122,378,173","63,144,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,563,057","4,318,302","3,699,267","1,122,973",,,,,,,,,
Albania,Millennium Challenge Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,745,009","1,176,466","16,072,343","12,398",
Albania,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,510,047","4,930,872"
Albania,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,600,752","933,566","2,082,335","2,408,322","5,792,716","1,826,257","1,168,054","8,520,009","2,553,537","6,416,320"
Albania,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,506,485","2,278,501","4,070,514","582,318","1,102,955","620,576","919,207",,"790,549","806,789","455,109","1,951,265","595,318"
Albania,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,723,543","10,810,828",,,,,,"3,464,317",,"2,619,587",,"6,270,530","5,727,001",,,,,,
Albania,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190,527","145,645",,"62,802","180,099","105,388",,"61,753","61,009","41,864","96,051","20,532","28,943","1,577,589","1,402,002","1,311,668","1,673,305","2,183,451","1,993,958","690,419"
Albania,Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,938","13,884","40,728,301","26,898,475","6,598,920","40,228,186","49,441,561","56,946,145","37,184,675","41,114,493","35,457,103","29,201,125","26,143,737","21,947,967","20,115,326","13,937,176","19,993,238","20,214,985"
Albania,Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"924,593","1,156,936","1,580,051","1,638,323","1,660,647","717,786",,,,,,"1,352,870","1,724,662","1,459,824","1,516,183","1,702,954","1,669,313","2,367,876","2,301,100"
Albania,Title I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,853,152","65,431,175","20,954,477","6,798,009","7,544,989",,"12,013,329",,,"6,228,378",,,,,,,,,
Albania,Title II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"681,272","3,518,446",,,,"2,892,365","785,732",,"7,805,549",,,,,,,,,,
Algeria,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,570",
Algeria,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,"1,747,696","4,027,353","1,705,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"669,364","422,835",,"614,341",,,,
Algeria,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250,354",,,,,"778,890","1,882,832","2,992,196","1,786,773","2,418,256","4,803,120"
Algeria,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,060","261,978","11,252"
Algeria,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"536,321",,"861,040","610,347","342,230","987,588"
Algeria,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"733,350","401,450","1,042,317","247,658","1,321,956","555,643","704,532","280,266","149,267","207,415","1,531,307","980,499","2,013,002"
Algeria,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,143,071",,"1,310,928","1,667,471",,,,,,
Algeria,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,838","65,491","67,256","66,377","65,092","103,300","77,597","91,389","67,901","164,427","372,274","533,245","1,358,044","273,278","175,900"
Algeria,Other USAID Assistance,,,,,,,,,,,,,,,,,,"6,328,697","5,685,743","3,910,090","1,094,100","530,110",,,,,,,,,,,,,,,,,,,,,,,,,,"3,824,453",,,,,,,,,,"924,156","1,028,849",,,"53,795",,,"3,465",
Algeria,Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,"4,424","422,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Title I,,,,,,,,,,,,,,,,,,,,,"63,457,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Title II,,,,,,,,,,,"6,557","5,057,727","613,734","4,233,098","3,583,575","13,547,962","54,178,586","389,502,534","250,172,713","80,436,145","41,575,811","69,444,354",,"9,790,585","10,221,044",,,"809,531",,"15,724,793","19,453,912","6,492,553","15,984,306","11,466,119","1,625,957",,,,,,"488,327",,,,,,,,,,,,,"936,670",,,,"2,444,716",,"1,069,727",,,,"6,959,021","6,907,849","6,528,900"
