country,program,FY1980,FY1990,FY2000,FY2010
Afghanistan,Child Survival and Health,0,0,0,0
Afghanistan,Department of Defense Security Assistance,0,0,0,316514796
Afghanistan,Development Assistance,0,0,0,0
Afghanistan,Economic Support Fund/Security Support Assistance,0,0,0,2797488331
Afghanistan,Food For Education,0,0,0,0
Afghanistan,Global Health and Child Survival,0,0,0,137642691
Afghanistan,Inactive Programs,0,0,0,0
Afghanistan,Migration and Refugee Assistance,0,0,13952743,30875007
Afghanistan,Narcotics Control,0,0,0,860561349
Afghanistan,"Nonproliferation, Anti-Terrorism, Demining and Related",0,0,3755316,69603662
Afghanistan,Other Active Grant Programs,0,0,2899030,11553941
Afghanistan,Other Food Aid Programs,0,0,29581885,0
Afghanistan,Other State Assistance,0,214592,0,4180442
Afghanistan,Other USAID Assistance,0,0,0,237417668
Afghanistan,Other USDA Assistance,0,0,0,101692000
Afghanistan,Peace Corps,0,0,0,0
Afghanistan,Title I,0,0,0,15284034
Afghanistan,Title II,0,23277190,17496891,63717600
Albania,Child Survival and Health,0,0,0,0
Albania,Department of Defense Security Assistance,0,0,0,0
Albania,Development Assistance,0,0,0,15849
Albania,Economic Support Fund/Security Support Assistance,0,0,15021262,245880
Albania,Food For Education,0,0,0,0
Albania,Global Health and Child Survival,0,0,0,0
Albania,Inactive Programs,0,0,0,0
Albania,Migration and Refugee Assistance,0,0,3699267,0
Albania,Millennium Challenge Corporation,0,0,0,0
Albania,Narcotics Control,0,0,0,4930872
Albania,"Nonproliferation, Anti-Terrorism, Demining and Related",0,0,0,6416320
Albania,Other Active Grant Programs,0,0,4070514,595318
Albania,Other Food Aid Programs,0,0,0,0
Albania,Other State Assistance,0,0,41864,690419
Albania,Other USAID Assistance,0,0,56946145,20214985
Albania,Peace Corps,0,0,0,2301100
Albania,Title I,0,0,0,0
Albania,Title II,0,0,7805549,0
Algeria,Department of Defense Security Assistance,0,0,0,0
Algeria,Economic Support Fund/Security Support Assistance,0,0,0,0
Algeria,Migration and Refugee Assistance,0,0,250354,4803120
Algeria,Narcotics Control,0,0,0,11252
Algeria,"Nonproliferation, Anti-Terrorism, Demining and Related",0,0,0,987588
Algeria,Other Active Grant Programs,0,0,1042317,2013002
Algeria,Other Food Aid Programs,0,0,0,0
Algeria,Other State Assistance,0,0,65092,175900
Algeria,Other USAID Assistance,0,0,0,0
Algeria,Peace Corps,0,0,0,0
Algeria,Title I,0,0,0,0
Algeria,Title II,0,0,0,6528900
Angola,Child Survival and Health,0,0,6759568,0
Angola,Development Assistance,0,0,6628132,18897460
Angola,Economic Support Fund/Security Support Assistance,0,0,625886,0
Angola,Food For Education,0,0,0,3183634
Angola,Global HIV/AIDS Initiative,0,0,0,370655
Angola,Global Health and Child Survival,0,0,0,47082498
Angola,Migration and Refugee Assistance,0,0,103947,2300000
Angola,"Nonproliferation, Anti-Terrorism, Demining and Related",0,0,3875486,9999801
Angola,Other Active Grant Programs,0,0,1363642,10160484
Angola,Other Food Aid Programs,0,0,25063117,0
Angola,Other State Assistance,0,0,95460,224069
Angola,Other USAID Assistance,0,0,0,6867949
Angola,Title I,0,0,12517719,0
Angola,Title II,14656342,3202292,74891132,0
Antigua and Barbuda,"Nonproliferation, Anti-Terrorism, Demining and Related",0,0,0,0
Antigua and Barbuda,Other Active Grant Programs,0,0,0,118288
Argentina,Department of Defense Security Assistance,0,0,0,106858
Argentina,Economic Support Fund/Security Support Assistance,0,0,0,0
Argentina,Inactive Programs,0,0,0,0
Argentina,Migration and Refugee Assistance,0,0,0,0
Argentina,Narcotics Control,0,540146,0,944735
Argentina,"Nonproliferation, Anti-Terrorism, Demining and Related",0,0,0,718115
Argentina,Other Active Grant Programs,0,955286,1301878,3614781
Argentina,Other State Assistance,0,652033,0,357615
Argentina,Other USAID Assistance,0,243837,0,0
Argentina,Other USDA Assistance,0,0,0,20209
Argentina,Peace Corps,0,0,0,0
Argentina,Title I,0,0,0,0
Armenia,Child Survival and Health,0,0,0,0
