country,program,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,
Afghanistan,"Military Assistance, Total",,,,,,,,,,,,"619,871","2,418,913","1,194,525","2,945,209","5,825,654","4,792,550","875,604","374,252","640,049","858,778","983,150","1,331,520","933,832","685,759","1,009,625","841,912","536,332","652,921","825,994","3,092","513,326","697,696",,,,,,,,,,,,,,,,,,,,,,,,"61,893,261","404,588,774","617,669,820","787,160,084","2,026,695,579","4,054,651,019","6,346,379,098","6,078,821,266","6,800,308,625",
Albania,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185,498","243,864","358,913","1,135,492","7,311,615","1,086,628","2,991,602","6,866,467","2,969,195","11,532,997","5,854,036","10,437,602","7,120,407","5,932,916","5,218,135","4,223,539","2,815,954","4,176,529","5,080,000",
Algeria,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,107","68,685","226,451","134,641","164,809","222,231","260,220","217,381","194,240","77,753","100,611","100,039","79,900","162,967","158,282","143,954","147,969","80,604","721,216","826,137","1,015,895","885,469","1,755,630","709,604","890,724","1,015,000",
Angola,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,667,706","227,910",,,,,,"355,894","574,504","348,275","689,655","458,490","354,292","477,606","373,000",
Antigua and Barbuda,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,007","55,812","81,087","73,969","65,191","73,138","4,800","1,209,926","963,557","1,270,953","136,110","61,092","58,463","237,426","446,652","6,047,873","14,365,408","883,751","924,499","4,358,646","391,248","1,760,281","725,480","465,866","563,974","108,227","685,173","2,194,000",
Argentina,"Military Assistance, Total",,,,,,,,,,,,,,"1,642,472","23,002,083","169,555,673","8,382,647","57,300,923","92,378,678","150,072,267","84,038,271","58,543,484","57,113,378","2,745,744","72,464,864","87,047,442","48,357,319","86,602,506","102,894,839","109,653,093","309,169","2,139,351",,,,,,,,,,,"54,854","233,613","226,861","5,977,621","9,683,591","22,766,442","1,730,836","7,746,508","22,231,511","2,919,358","7,309,262","10,649,621","7,308,044","2,579,057","3,356,507","5,446,833","1,509,797","1,440,947","1,370,702","1,430,823","1,356,926","1,368,330","1,483,000",
Armenia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146,746","10,713,151","6,668,894","3,853,775","9,827,366","6,324,164","5,051,485","3,751,406","3,382,535","3,490,000",
Asia (not specified),"Military Assistance, Total",,,,"232,801,652","673,216,205","1,059,055,706","1,467,975,094","1,491,058,684","353,312,523","-135,727,107","-43,622,898","-12,888,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"753,133",,,,,
Australia,"Military Assistance, Total",,,,,,,,,,,,,"152,391,522","27,474,074","13,547,962","113,600,262","178,929,524","142,143,587","55,858,434","27,352,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,884",,,,,,,,,,,,,,"7,147","201,521",,
Austria,"Military Assistance, Total",,,,"422,741,763",,"2,095,480",,,"2,018,198","2,622,746","221,276","231,169,102","37,716,902","21,788,135","4,353,019","45,119,694","49,536,437","2,393,698","273,706","125,822","90,119","56,326",,"18,584",,"50,692","93,096","90,648","30,766","57,405","3,092","71,213","138,983","128,636","56,734","60,251","76,530","81,022","100,461","81,087","112,714","90,924","36,569","33,602","20,063","38,661",,,"13,884","20,394","20,008",,,,,,,,,,,,,,,
