Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,GINI index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82,,,,
Afghanistan,AFG,GDP (constant 2000 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96576E+11,2.24723E+11,2.45934E+11,2.81633E+11,3.13139E+11,3.47998E+11,3.5983E+11,4.33235E+11,4.6876E+11,,
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,24200001536,24700000256,24600000512,33800003584,36000002048,45299998720,62999998464,75300003840,61800001536,63400001536,78699896832,82399903744,71799996416,77999996928,96999997440,1.065E+11,1.15E+11,1.329E+11,1.485E+11,1.616E+11,1.606E+11,1.722E+11,,,,,,,,,,,,,,,,,,,,1.33987E+11,1.96576E+11,2.33363E+11,2.72707E+11,3.38541E+11,3.855E+11,4.85E+11,6E+11,7.14E+11,8.01E+11,9.24E+11,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.9,548888894.6,546666678,751111190.8,800000045.5,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,,,,,,,,,,,,,,,,,,,,2461666315,4338907579,4766127272,5704202651,6814753581,7721931671,9707373721,11940296131,14213670485,17243112604,20343461030,
Afghanistan,AFG,GNI (constant 2000 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GNI (constant LCU),NY.GNP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82466E+11,2.24365E+11,2.46271E+11,2.82072E+11,3.34291E+11,3.65701E+11,3.20234E+11,3.83394E+11,4.1219E+11,,
Afghanistan,AFG,GNI (current LCU),NY.GNP.MKTP.CN,24699998208,25200001024,25100001280,34500001792,36700000256,46200000512,64299999232,76899999744,63099998208,64699998208,80299999232,84099899392,73399902208,79699902464,99100000256,1.088E+11,1.175E+11,1.358E+11,1.517E+11,1.65E+11,1.639E+11,1.758E+11,,,,,,,,,,,,,,,,,,,,1.33987E+11,1.82464E+11,2.33016E+11,2.73105E+11,3.39095E+11,4.09835E+11,5.07139E+11,5.43186E+11,6.31859E+11,7.04335E+11,,
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,548888849.1,560000022.8,557777806.2,766666706.5,815555561.2,1026666678,1428888872,1708888883,1402222182,1437777738,1784444427,1868886653,1631108938,1771108944,2202222228,2417777778,2611111162,3017777698,3371111037,3775743723,3716553376,3551514996,,,,,,,,,,,,,,,,,,,,2461666315,4027426823,4759038901,5712542744,6825898446,8209375318,10150497137,10809678595,12578482323,15162207328,,
Afghanistan,AFG,"Population, total",SP.POP.TOTL,9671046,9859928,10056480,10261254,10474903,10697983,10927724,11163656,11411022,11676990,11964906,12273101,12593688,12915499,13223928,13505544,13847330,14197767,14557071,14925469,15303190,15657868,16020767,16392077,16771993,17160714,17518107,17882944,18255378,18635569,19023678,19668810,20335820,21025450,21738467,22475663,23131309,23806081,24500537,25215252,25950816,26697430,27465525,28255719,29068646,29904962,30751661,31622333,32517656,33438329,34385068,35320445,
