GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC07,HC02_VC07,HC03_VC07,HC04_VC07,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC21,HC02_VC21,HC03_VC21,HC04_VC21,HC01_VC23,HC02_VC23,HC03_VC23,HC04_VC23,HC01_VC24,HC02_VC24,HC03_VC24,HC04_VC24,HC01_VC25,HC02_VC25,HC03_VC25,HC04_VC25,HC01_VC26,HC02_VC26,HC03_VC26,HC04_VC26,HC01_VC28,HC02_VC28,HC03_VC28,HC04_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC04_VC29,HC01_VC30,HC02_VC30,HC03_VC30,HC04_VC30,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC04_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC40,HC02_VC40,HC03_VC40,HC04_VC40,HC01_VC42,HC02_VC42,HC03_VC42,HC04_VC42,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC46,HC02_VC46,HC03_VC46,HC04_VC46,HC01_VC47,HC02_VC47,HC03_VC47,HC04_VC47,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC04_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC04_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC04_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC04_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC04_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC04_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC04_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC04_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC04_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC04_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC04_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC71,HC02_VC71,HC03_VC71,HC04_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC04_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC04_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC75,HC02_VC75,HC03_VC75,HC04_VC75,HC01_VC76,HC02_VC76,HC03_VC76,HC04_VC76,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC84,HC02_VC84,HC03_VC84,HC04_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC86,HC02_VC86,HC03_VC86,HC04_VC86,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98
0500000US01003,01003,"Baldwin County, Alabama",183195,*****,183195,(X),89930,1065,49.1,0.6,93265,1065,50.9,0.6,10991,521,6.0,0.3,11338,1456,6.2,0.8,12758,1489,7.0,0.8,11710,731,6.4,0.4,8429,610,4.6,0.3,21568,867,11.8,0.5,23611,1228,12.9,0.7,27276,1195,14.9,0.7,12278,1452,6.7,0.8,12579,1482,6.9,0.8,18297,555,10.0,0.3,9185,1031,5.0,0.6,3175,1033,1.7,0.6,41.4,0.4,(X),(X),141056,458,77.0,0.3,134319,1136,73.3,0.6,37328,1289,20.4,0.7,30657,585,16.7,0.3,141056,458,141056,(X),68449,724,48.5,0.4,72607,505,51.5,0.4,30657,585,30657,(X),14228,446,46.4,1.1,16429,466,53.6,1.1,183195,*****,183195,(X),180325,882,98.4,0.5,2870,882,1.6,0.5,180325,882,98.4,0.5,159423,1327,87.0,0.7,17230,616,9.4,0.3,855,388,0.5,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1120,517,0.6,0.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,273,0.0,0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1697,1342,0.9,0.7,2870,882,1.6,0.5,704,571,0.4,0.3,1290,388,0.7,0.2,620,517,0.3,0.3,93,149,0.1,0.1,183195,*****,183195,(X),162119,1595,88.5,0.9,18068,273,9.9,0.1,2360,215,1.3,0.1,1740,273,0.9,0.1,N,N,N,N,1819,1327,1.0,0.7,183195,*****,183195,(X),8078,*****,4.4,*****,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,175117,*****,95.6,*****,152670,495,83.3,0.3,17230,616,9.4,0.3,855,388,0.5,0.2,1120,517,0.6,0.3,0,273,0.0,0.1,453,487,0.2,0.3,2789,886,1.5,0.5,41,68,0.0,0.1,2748,892,1.5,0.5,104249,491,(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",118510,*****,118510,(X),56454,533,47.6,0.4,62056,533,52.4,0.4,7381,649,6.2,0.5,6573,1107,5.5,0.9,8536,1169,7.2,1.0,9051,550,7.6,0.5,8459,722,7.1,0.6,14368,761,12.1,0.6,15170,726,12.8,0.6,16674,346,14.1,0.3,8042,850,6.8,0.7,7126,818,6.0,0.7,9385,360,7.9,0.3,6093,594,5.1,0.5,1652,477,1.4,0.4,38.5,0.8,(X),(X),91549,250,77.3,0.2,84435,881,71.2,0.7,21214,897,17.9,0.8,17130,344,14.5,0.3,91549,250,91549,(X),43205,352,47.2,0.3,48344,296,52.8,0.3,17130,344,17130,(X),7051,222,41.2,0.9,10079,238,58.8,0.9,118510,*****,118510,(X),117142,670,98.8,0.6,1368,670,1.2,0.6,117142,670,98.8,0.6,88213,577,74.4,0.5,25137,427,21.2,0.4,345,365,0.3,0.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,706,366,0.6,0.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,41,72,0.0,0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2700,700,2.3,0.6,1368,670,1.2,0.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,118510,*****,118510,(X),89517,879,75.5,0.7,25510,300,21.5,0.3,972,74,0.8,0.1,1086,35,0.9,0.1,N,N,N,N,2799,704,2.4,0.6,118510,*****,118510,(X),3981,*****,3.4,*****,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,114529,*****,96.6,*****,87259,273,73.6,0.1,24844,384,21.0,0.3,345,365,0.3,0.3,706,366,0.6,0.3,41,72,0.0,0.1,0,273,0.0,0.1,1334,667,1.1,0.6,0,273,0.0,0.1,1334,667,1.1,0.6,53321,960,(X),(X)
0500000US01043,01043,"Cullman County, Alabama",80459,*****,80459,(X),40063,495,49.8,0.6,40396,495,50.2,0.6,4817,381,6.0,0.5,4908,769,6.1,1.0,5857,852,7.3,1.1,5874,807,7.3,1.0,4970,739,6.2,0.9,9232,439,11.5,0.5,9970,337,12.4,0.4,11979,474,14.9,0.6,5858,819,7.3,1.0,4369,803,5.4,1.0,7243,39,9.0,0.1,3522,573,4.4,0.7,1860,551,2.3,0.7,39.7,0.9,(X),(X),61252,457,76.1,0.6,57688,839,71.7,1.0,14672,602,18.2,0.7,12625,133,15.7,0.2,61252,457,61252,(X),29734,310,48.5,0.4,31518,336,51.5,0.4,12625,133,12625,(X),5466,124,43.3,0.5,7159,30,56.7,0.5,80459,*****,80459,(X),79419,539,98.7,0.7,1040,539,1.3,0.7,79419,539,98.7,0.7,76959,862,95.6,1.1,1207,509,1.5,0.6,331,311,0.4,0.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,75,150,0.1,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,273,0.0,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,847,709,1.1,0.9,1040,539,1.3,0.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,80459,*****,80459,(X),77999,822,96.9,1.0,1596,388,2.0,0.5,863,273,1.1,0.2,N,N,N,N,N,N,N,N,966,819,1.2,1.0,80459,*****,80459,(X),3497,*****,4.3,*****,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,76962,*****,95.7,*****,74648,273,92.8,0.2,987,447,1.2,0.6,331,311,0.4,0.4,75,150,0.1,0.2,0,273,0.0,0.2,0,273,0.0,0.2,921,508,1.1,0.6,0,273,0.0,0.2,921,508,1.1,0.6,37059,416,(X),(X)
0500000US01049,01049,"DeKalb County, Alabama",71151,*****,71151,(X),35647,785,50.1,1.1,35504,785,49.9,1.1,5011,283,7.0,0.4,5352,1128,7.5,1.6,5352,1129,7.5,1.6,4677,676,6.6,1.0,4965,1015,7.0,1.4,9040,845,12.7,1.2,9127,424,12.8,0.6,9118,244,12.8,0.3,4596,798,6.5,1.1,4091,766,5.7,1.1,5663,184,8.0,0.3,3382,343,4.8,0.5,777,317,1.1,0.4,36.7,0.9,(X),(X),52607,461,73.9,0.6,49971,843,70.2,1.2,12393,685,17.4,1.0,9822,246,13.8,0.3,52607,461,52607,(X),25463,666,48.4,1.0,27144,429,51.6,1.0,9822,246,9822,(X),4196,120,42.7,1.2,5626,213,57.3,1.2,71151,*****,71151,(X),68877,1135,96.8,1.6,2274,1135,3.2,1.6,68877,1135,96.8,1.6,64530,2722,90.7,3.8,1232,444,1.7,0.6,793,662,1.1,0.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,273,0.0,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,22,43,0.0,0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2300,2506,3.2,3.5,2274,1135,3.2,1.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,71151,*****,71151,(X),66804,2497,93.9,3.5,2158,1099,3.0,1.5,2182,81,3.1,0.1,N,N,N,N,N,N,N,N,N,N,N,N,71151,*****,71151,(X),9622,*****,13.5,*****,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,61529,*****,86.5,*****,58059,273,81.6,0.2,986,328,1.4,0.5,793,662,1.1,0.9,0,273,0.0,0.2,22,43,0.0,0.1,0,273,0.0,0.2,1669,753,2.3,1.1,0,273,0.0,0.2,1669,753,2.3,1.1,31115,233,(X),(X)
0500000US01051,01051,"Elmore County, Alabama",79549,*****,79549,(X),39089,538,49.1,0.7,40460,538,50.9,0.7,4871,246,6.1,0.3,5096,732,6.4,0.9,4996,732,6.3,0.9,5009,596,6.3,0.7,5920,782,7.4,1.0,11214,812,14.1,1.0,11255,358,14.1,0.4,12308,441,15.5,0.6,5249,745,6.6,0.9,4423,724,5.6,0.9,5468,301,6.9,0.4,2783,521,3.5,0.7,957,461,1.2,0.6,37.7,0.7,(X),(X),61212,260,76.9,0.3,58352,756,73.4,1.0,12114,765,15.2,1.0,9208,163,11.6,0.2,61212,260,61212,(X),29420,354,48.1,0.6,31792,402,51.9,0.6,9208,163,9208,(X),4035,163,43.8,1.0,5173,273,56.2,1.0,79549,*****,79549,(X),78001,587,98.1,0.7,1548,587,1.9,0.7,78001,587,98.1,0.7,60656,914,76.2,1.1,15530,941,19.5,1.2,298,221,0.4,0.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,565,512,0.7,0.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,273,0.0,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,952,865,1.2,1.1,1548,587,1.9,0.7,634,530,0.8,0.7,489,323,0.6,0.4,43,82,0.1,0.1,71,98,0.1,0.1,79549,*****,79549,(X),61869,1126,77.8,1.4,16499,568,20.7,0.7,858,372,1.1,0.5,817,776,1.0,1.0,N,N,N,N,1054,872,1.3,1.1,79549,*****,79549,(X),2159,*****,2.7,*****,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,77390,*****,97.3,*****,59637,78,75.0,0.1,15342,907,19.3,1.1,298,221,0.4,0.3,565,512,0.7,0.6,0,273,0.0,0.2,0,273,0.0,0.2,1548,587,1.9,0.7,102,119,0.1,0.1,1446,619,1.8,0.8,32683,1309,(X),(X)
0500000US01055,01055,"Etowah County, Alabama",104462,*****,104462,(X),51092,694,48.9,0.7,53370,694,51.1,0.7,5771,296,5.5,0.3,6315,832,6.0,0.8,7124,892,6.8,0.9,7768,598,7.4,0.6,5909,608,5.7,0.6,11962,1076,11.5,1.0,14051,712,13.5,0.7,14962,469,14.3,0.4,7333,929,7.0,0.9,6705,928,6.4,0.9,9035,268,8.6,0.3,5367,603,5.1,0.6,2160,640,2.1,0.6,40.6,0.7,(X),(X),80653,270,77.2,0.3,75847,960,72.6,0.9,20472,876,19.6,0.8,16562,154,15.9,0.1,80653,270,80653,(X),38381,581,47.6,0.7,42272,566,52.4,0.7,16562,154,16562,(X),6894,138,41.6,0.6,9668,103,58.4,0.6,104462,*****,104462,(X),103699,341,99.3,0.3,763,341,0.7,0.3,103699,341,99.3,0.3,86116,183,82.4,0.2,16553,428,15.8,0.4,611,238,0.6,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,336,343,0.3,0.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,273,0.0,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,83,135,0.1,0.1,763,341,0.7,0.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,104462,*****,104462,(X),86707,472,83.0,0.5,17009,395,16.3,0.4,952,215,0.9,0.2,419,369,0.4,0.4,N,N,N,N,N,N,N,N,104462,*****,104462,(X),3413,*****,3.3,*****,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,101049,*****,96.7,*****,82758,135,79.2,0.1,16553,428,15.8,0.4,611,238,0.6,0.2,336,343,0.3,0.3,0,273,0.0,0.2,83,135,0.1,0.1,708,358,0.7,0.3,0,273,0.0,0.2,708,358,0.7,0.3,47470,342,(X),(X)
0500000US01069,01069,"Houston County, Alabama",101888,*****,101888,(X),48896,245,48.0,0.2,52992,245,52.0,0.2,6742,47,6.6,0.1,6981,626,6.9,0.6,6945,606,6.8,0.6,6653,215,6.5,0.2,6029,200,5.9,0.2,13159,413,12.9,0.4,13112,271,12.9,0.3,14625,188,14.4,0.2,7661,584,7.5,0.6,5176,568,5.1,0.6,8311,156,8.2,0.2,4895,300,4.8,0.3,1599,312,1.6,0.3,38.2,0.8,(X),(X),76976,156,75.5,0.2,73576,342,72.2,0.3,17599,462,17.3,0.5,14805,173,14.5,0.2,76976,156,76976,(X),36137,140,46.9,0.2,40839,180,53.1,0.2,14805,173,14805,(X),6168,62,41.7,0.6,8637,174,58.3,0.6,101888,*****,101888,(X),99996,726,98.1,0.7,1892,726,1.9,0.7,99996,726,98.1,0.7,71348,577,70.0,0.6,25787,740,25.3,0.7,345,242,0.3,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,979,146,1.0,0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,273,0.0,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1537,607,1.5,0.6,1892,726,1.9,0.7,1265,727,1.2,0.7,496,242,0.5,0.2,83,112,0.1,0.1,16,27,0.0,0.1,101888,*****,101888,(X),73192,846,71.8,0.8,27100,110,26.6,0.1,857,27,0.8,0.1,1094,81,1.1,0.1,N,N,N,N,1537,607,1.5,0.6,101888,*****,101888,(X),3038,*****,3.0,*****,1976,554,1.9,0.5,241,244,0.2,0.2,26,44,0.0,0.1,795,475,0.8,0.5,98850,*****,97.0,*****,69959,23,68.7,0.1,25706,725,25.2,0.7,345,242,0.3,0.2,935,112,0.9,0.1,0,273,0.0,0.2,13,23,0.0,0.1,1892,726,1.9,0.7,0,273,0.0,0.2,1892,726,1.9,0.7,45382,521,(X),(X)
0500000US01073,01073,"Jefferson County, Alabama",658555,*****,658555,(X),310793,1211,47.2,0.2,347762,1211,52.8,0.2,43719,3,6.6,0.1,43399,2259,6.6,0.3,40261,2191,6.1,0.3,44465,989,6.8,0.2,46664,492,7.1,0.1,95164,1228,14.5,0.2,82164,1019,12.5,0.2,95670,1110,14.5,0.2,43063,2682,6.5,0.4,37562,2664,5.7,0.4,44424,451,6.7,0.1,30226,1239,4.6,0.2,11774,1279,1.8,0.2,37.1,0.3,(X),(X),504446,324,76.6,0.1,478089,1959,72.6,0.3,108073,2040,16.4,0.3,86424,363,13.1,0.1,504446,324,504446,(X),233254,504,46.2,0.1,271192,455,53.8,0.1,86424,363,86424,(X),34253,272,39.6,0.3,52171,313,60.4,0.3,658555,*****,658555,(X),653700,1393,99.3,0.2,4855,1393,0.7,0.2,653700,1393,99.3,0.2,353301,3573,53.6,0.5,278496,737,42.3,0.1,1407,573,0.2,0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9387,961,1.4,0.1,2647,1367,0.4,0.2,3552,1261,0.5,0.2,147,165,0.0,0.1,230,251,0.0,0.1,106,182,0.0,0.1,928,635,0.1,0.1,1777,1468,0.3,0.2,0,273,0.0,0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,11109,3750,1.7,0.6,4855,1393,0.7,0.2,1044,575,0.2,0.1,1760,893,0.3,0.1,1383,721,0.2,0.1,130,152,0.0,0.1,658555,*****,658555,(X),357705,3749,54.3,0.6,279939,351,42.5,0.1,3349,717,0.5,0.1,10915,594,1.7,0.1,N,N,N,N,11554,3722,1.8,0.6,658555,*****,658555,(X),25635,*****,3.9,*****,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,632920,*****,96.1,*****,340003,142,51.6,0.1,278138,651,42.2,0.1,1407,573,0.2,0.1,9032,743,1.4,0.1,0,273,0.0,0.1,89,142,0.0,0.1,4251,1194,0.6,0.2,228,233,0.0,0.1,4023,1208,0.6,0.2,300638,1314,(X),(X)
0500000US01077,01077,"Lauderdale County, Alabama",92679,*****,92679,(X),43767,364,47.2,0.4,48912,364,52.8,0.4,5140,355,5.5,0.4,6955,1127,7.5,1.2,4424,1064,4.8,1.1,6696,654,7.2,0.7,7612,330,8.2,0.4,10013,658,10.8,0.7,11323,469,12.2,0.5,12820,489,13.8,0.5,5953,823,6.4,0.9,6229,845,6.7,0.9,8299,275,9.0,0.3,5576,522,6.0,0.6,1639,487,1.8,0.5,39.8,1.0,(X),(X),72495,590,78.2,0.6,67350,1177,72.7,1.3,18625,814,20.1,0.9,15514,326,16.7,0.4,72495,590,72495,(X),33919,301,46.8,0.5,38576,612,53.2,0.5,15514,326,15514,(X),6348,160,40.9,0.9,9166,268,59.1,0.9,92679,*****,92679,(X),91622,511,98.9,0.6,1057,511,1.1,0.6,91622,511,98.9,0.6,80704,666,87.1,0.7,8884,704,9.6,0.8,1174,833,1.3,0.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,733,113,0.8,0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,273,0.0,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,227,0.1,0.2,1057,511,1.1,0.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,92679,*****,92679,(X),81714,883,88.2,1.0,9219,673,9.9,0.7,1821,875,2.0,0.9,844,75,0.9,0.1,N,N,N,N,N,N,N,N,92679,*****,92679,(X),2098,*****,2.3,*****,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90581,*****,97.7,*****,79194,20,85.4,0.1,8760,669,9.5,0.7,837,524,0.9,0.6,733,113,0.8,0.1,0,273,0.0,0.2,0,273,0.0,0.2,1057,511,1.1,0.6,11,20,0.0,0.1,1046,510,1.1,0.6,43803,927,(X),(X)
0500000US01081,01081,"Lee County, Alabama",140780,*****,140780,(X),69236,370,49.2,0.3,71544,370,50.8,0.3,9037,323,6.4,0.2,8382,1133,6.0,0.8,8941,1136,6.4,0.8,13147,521,9.3,0.4,21987,802,15.6,0.6,19059,679,13.5,0.5,17467,461,12.4,0.3,16647,156,11.8,0.1,7507,984,5.3,0.7,5955,969,4.2,0.7,7522,211,5.3,0.2,3828,570,2.7,0.4,1301,505,0.9,0.4,29.2,0.4,(X),(X),109127,*****,77.5,*****,95698,1441,68.0,1.0,16092,811,11.4,0.6,12651,99,9.0,0.1,109127,*****,109127,(X),53172,70,48.7,0.1,55955,70,51.3,0.1,12651,99,12651,(X),5535,84,43.8,0.4,7116,34,56.2,0.4,140780,*****,140780,(X),139481,624,99.1,0.4,1299,624,0.9,0.4,139481,624,99.1,0.4,102223,503,72.6,0.4,32688,488,23.2,0.3,219,222,0.2,0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3657,362,2.6,0.3,405,269,0.3,0.2,1001,493,0.7,0.3,235,215,0.2,0.2,164,211,0.1,0.1,996,661,0.7,0.5,18,30,0.0,0.1,838,515,0.6,0.4,81,132,0.1,0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,613,490,0.4,0.3,1299,624,0.9,0.4,171,147,0.1,0.1,485,393,0.3,0.3,356,297,0.3,0.2,103,132,0.1,0.1,140780,*****,140780,(X),103344,794,73.4,0.6,32995,446,23.4,0.3,819,450,0.6,0.3,4133,273,2.9,0.1,222,212,0.2,0.2,644,485,0.5,0.3,140780,*****,140780,(X),4643,*****,3.3,*****,2450,825,1.7,0.6,644,546,0.5,0.4,9,18,0.0,0.1,1540,700,1.1,0.5,136137,*****,96.7,*****,98295,273,69.8,0.1,32688,488,23.2,0.3,102,119,0.1,0.1,3657,362,2.6,0.3,81,132,0.1,0.1,54,95,0.0,0.1,1260,607,0.9,0.4,0,273,0.0,0.1,1260,607,0.9,0.4,62660,728,(X),(X)
