GEO.display-label,GEO.id,HC01_VC85,HD01_VD01,HC01_VC73,HC01_VC72,HC01_VC74,HC01_VC75,HC01_VC156,HC01_VC76,GEO.id2,HD02_VD01,HC01_VC38,HC01_VC77
"Baldwin County, Alabama",0500000US01003,47502,176100,18068,162119,2360,1740,0,0,1003,9484,183195,1819
"Calhoun County, Alabama",0500000US01015,36675,102500,25510,89517,972,1086,0,0,1015,8268,118510,2799
"Cullman County, Alabama",0500000US01043,35786,87000,1596,77999,863,0,0,0,1043,6443,80459,966
"DeKalb County, Alabama",0500000US01049,35967,86600,2158,66804,2182,0,0,0,1049,9306,71151,0
"Elmore County, Alabama",0500000US01051,52222,147000,16499,61869,858,817,0,0,1051,9054,79549,1054
"Etowah County, Alabama",0500000US01055,35897,91700,17009,86707,952,419,0,0,1055,12646,104462,0
"Houston County, Alabama",0500000US01069,38579,125300,27100,73192,857,1094,0,0,1069,8711,101888,1537
"Jefferson County, Alabama",0500000US01073,41583,141500,279939,357705,3349,10915,0,0,1073,3691,658555,11554
"Lauderdale County, Alabama",0500000US01077,38661,110100,9219,81714,1821,844,0,0,1077,7352,92679,0
"Lee County, Alabama",0500000US01081,39381,151900,32995,103344,819,4133,0,222,1081,9106,140780,644
"Limestone County, Alabama",0500000US01083,50325,125700,11074,68362,1011,1225,0,0,1083,15756,83193,2235
"Madison County, Alabama",0500000US01089,53539,168200,83936,240993,5313,10094,0,422,1089,4864,335988,3550
"Marshall County, Alabama",0500000US01095,39343,110100,1904,88120,1272,591,0,0,1095,12254,93235,2682
"Mobile County, Alabama",0500000US01097,39998,131800,145819,254992,6213,8616,0,0,1097,4737,413277,2229
"Montgomery County, Alabama",0500000US01101,41946,129300,127575,94850,1721,5484,0,0,1101,6335,229844,3762
"Morgan County, Alabama",0500000US01103,45513,128200,15164,102774,2555,956,0,0,1103,8225,119626,1139
"St. Clair County, Alabama",0500000US01115,48316,129500,8731,74428,415,629,0,0,1115,15928,83761,0
"Shelby County, Alabama",0500000US01117,65673,196300,21746,164767,1065,4423,0,0,1117,7228,195828,6487
"Talladega County, Alabama",0500000US01121,34488,98700,26990,54950,334,0,0,0,1121,11203,82110,277
